threshold, avg_num_keypoints
1.000000000000000021e-03,4.491300000000000000e+04
1.000000000000000021e-03,4.551600000000000000e+04
1.000000000000000021e-03,4.938400000000000000e+04
1.000000000000000021e-03,4.742300000000000000e+04
1.000000000000000021e-03,4.934700000000000000e+04
1.000000000000000021e-03,4.004600000000000000e+04
1.000000000000000021e-03,4.990600000000000000e+04
1.000000000000000021e-03,4.611200000000000000e+04
1.000000000000000021e-03,3.816900000000000000e+04
1.000000000000000021e-03,4.713000000000000000e+04
1.000000000000000021e-03,6.058600000000000000e+04
1.000000000000000021e-03,4.553600000000000000e+04
1.000000000000000021e-03,4.912400000000000000e+04
1.000000000000000021e-03,4.271600000000000000e+04
1.000000000000000021e-03,5.372700000000000000e+04
1.000000000000000021e-03,5.021000000000000000e+04
1.000000000000000021e-03,4.800000000000000000e+04
1.000000000000000021e-03,5.199500000000000000e+04
1.000000000000000021e-03,3.596100000000000000e+04
1.000000000000000021e-03,5.265900000000000000e+04
1.000000000000000021e-03,5.513400000000000000e+04
1.000000000000000021e-03,3.526200000000000000e+04
1.000000000000000021e-03,4.712000000000000000e+04
1.000000000000000021e-03,6.043900000000000000e+04
1.000000000000000021e-03,5.352200000000000000e+04
1.000000000000000021e-03,3.718000000000000000e+04
1.000000000000000021e-03,4.635000000000000000e+04
1.000000000000000021e-03,4.816500000000000000e+04
1.000000000000000021e-03,5.152700000000000000e+04
2.000000000000000042e-03,2.884300000000000000e+04
2.000000000000000042e-03,2.783600000000000000e+04
2.000000000000000042e-03,3.019800000000000000e+04
2.000000000000000042e-03,3.022900000000000000e+04
2.000000000000000042e-03,3.133100000000000000e+04
2.000000000000000042e-03,2.339300000000000000e+04
2.000000000000000042e-03,3.061100000000000000e+04
2.000000000000000042e-03,3.008700000000000000e+04
2.000000000000000042e-03,2.152700000000000000e+04
2.000000000000000042e-03,2.825500000000000000e+04
2.000000000000000042e-03,4.101100000000000000e+04
2.000000000000000042e-03,2.826800000000000000e+04
2.000000000000000042e-03,2.933800000000000000e+04
2.000000000000000042e-03,2.592400000000000000e+04
2.000000000000000042e-03,3.505800000000000000e+04
2.000000000000000042e-03,3.304600000000000000e+04
2.000000000000000042e-03,3.134800000000000000e+04
2.000000000000000042e-03,3.049400000000000000e+04
2.000000000000000042e-03,2.002500000000000000e+04
2.000000000000000042e-03,3.192700000000000000e+04
2.000000000000000042e-03,3.566500000000000000e+04
2.000000000000000042e-03,2.074200000000000000e+04
2.000000000000000042e-03,3.075600000000000000e+04
2.000000000000000042e-03,4.012900000000000000e+04
2.000000000000000042e-03,3.559900000000000000e+04
2.000000000000000042e-03,2.137200000000000000e+04
2.000000000000000042e-03,2.613300000000000000e+04
2.000000000000000042e-03,3.120700000000000000e+04
2.000000000000000042e-03,3.419000000000000000e+04
3.000000000000000062e-03,2.104700000000000000e+04
3.000000000000000062e-03,1.955500000000000000e+04
3.000000000000000062e-03,2.012800000000000000e+04
3.000000000000000062e-03,2.214600000000000000e+04
3.000000000000000062e-03,2.280500000000000000e+04
3.000000000000000062e-03,1.617900000000000000e+04
3.000000000000000062e-03,2.122400000000000000e+04
3.000000000000000062e-03,2.233100000000000000e+04
3.000000000000000062e-03,1.452900000000000000e+04
3.000000000000000062e-03,1.973700000000000000e+04
3.000000000000000062e-03,3.046200000000000000e+04
3.000000000000000062e-03,2.042300000000000000e+04
3.000000000000000062e-03,1.963500000000000000e+04
3.000000000000000062e-03,1.860100000000000000e+04
3.000000000000000062e-03,2.504000000000000000e+04
3.000000000000000062e-03,2.429500000000000000e+04
3.000000000000000062e-03,2.276000000000000000e+04
3.000000000000000062e-03,2.056600000000000000e+04
3.000000000000000062e-03,1.356700000000000000e+04
3.000000000000000062e-03,2.221900000000000000e+04
3.000000000000000062e-03,2.532300000000000000e+04
3.000000000000000062e-03,1.437100000000000000e+04
3.000000000000000062e-03,2.262500000000000000e+04
3.000000000000000062e-03,2.942600000000000000e+04
3.000000000000000062e-03,2.614000000000000000e+04
3.000000000000000062e-03,1.479400000000000000e+04
3.000000000000000062e-03,1.795900000000000000e+04
3.000000000000000062e-03,2.248100000000000000e+04
3.000000000000000062e-03,2.513900000000000000e+04
4.000000000000000083e-03,1.615100000000000000e+04
4.000000000000000083e-03,1.462800000000000000e+04
4.000000000000000083e-03,1.416400000000000000e+04
4.000000000000000083e-03,1.717400000000000000e+04
4.000000000000000083e-03,1.758600000000000000e+04
4.000000000000000083e-03,1.208000000000000000e+04
4.000000000000000083e-03,1.570000000000000000e+04
4.000000000000000083e-03,1.748600000000000000e+04
4.000000000000000083e-03,1.071500000000000000e+04
4.000000000000000083e-03,1.459500000000000000e+04
4.000000000000000083e-03,2.347000000000000000e+04
4.000000000000000083e-03,1.568300000000000000e+04
4.000000000000000083e-03,1.386400000000000000e+04
4.000000000000000083e-03,1.424200000000000000e+04
4.000000000000000083e-03,1.883900000000000000e+04
4.000000000000000083e-03,1.869300000000000000e+04
4.000000000000000083e-03,1.738000000000000000e+04
4.000000000000000083e-03,1.477500000000000000e+04
4.000000000000000083e-03,9.685000000000000000e+03
4.000000000000000083e-03,1.656800000000000000e+04
4.000000000000000083e-03,1.889600000000000000e+04
4.000000000000000083e-03,1.054000000000000000e+04
4.000000000000000083e-03,1.767500000000000000e+04
4.000000000000000083e-03,2.246000000000000000e+04
4.000000000000000083e-03,2.001500000000000000e+04
4.000000000000000083e-03,1.086900000000000000e+04
4.000000000000000083e-03,1.354100000000000000e+04
4.000000000000000083e-03,1.711000000000000000e+04
4.000000000000000083e-03,1.925900000000000000e+04
5.000000000000000104e-03,1.311700000000000000e+04
5.000000000000000104e-03,1.137500000000000000e+04
5.000000000000000104e-03,1.043800000000000000e+04
